latitude,longitude,type,name,number,postal_code,street,confidence,region,region_code,county,locality,administrative_area,neighbourhood,country,country_code,continent,label,location,map_url
49.307822,8.64145,locality,Walldorf,,,,1.0,Baden-Württemberg,BW,Rhein-Neckar-Kreis,Walldorf,Walldorf,,Germany,DEU,Europe,"Walldorf, BW, Germany",Walldorf,
48.70631,9.11924,locality,Stuttgart,,,,1.0,Baden-Württemberg,BW,Esslingen,Stuttgart,Leinfelden-Echterdingen,,Germany,DEU,Europe,"Stuttgart, BW, Germany",Stuttgart,
48.152126,11.544467,locality,Munich,,,,1.0,Bavaria,BY,Munich,Munich,München,,Germany,DEU,Europe,"Munich, BY, Germany",München,
51.341053,12.404024,locality,Leipzig,,,,1.0,Saxony,SN,Leipzig,Leipzig,Leipzig,,Germany,DEU,Europe,"Leipzig, SN, Germany",Leipzig,
53.576158,10.007046,locality,Hamburg,,,,1.0,Hamburg,HH,Hamburg,Hamburg,Hamburg,,Germany,DEU,Europe,"Hamburg, Germany",Hamburg,
50.041821,8.584764,locality,Frankfurt,,,,1.0,Hesse,HE,Frankfurt,Frankfurt,Frankfurt am Main,,Germany,DEU,Europe,"Frankfurt, HE, Germany",Frankfurt,
51.226297,6.801324,locality,Dusseldorf,,,,1.0,North Rhine-Westphalia,NW,Düsseldorf,Dusseldorf,Düsseldorf,,Germany,DEU,Europe,"Dusseldorf, NW, Germany",Düsseldorf,
52.524932,13.407032,locality,Berlin,,,,1.0,Berlin,BE,,Berlin,Berlin,,Germany,DEU,Europe,"Berlin, Germany",Berlin,
51.507849,7.479247,locality,Dortmund,,,,1.0,North Rhine-Westphalia,NW,Dortmund,Dortmund,Dortmund,,Germany,DEU,Europe,"Dortmund, NW, Germany",Dortmund,
50.774209,6.08443,locality,Aachen,,,,1.0,North Rhine-Westphalia,NW,Aachen,Aachen,Aachen,,Germany,DEU,Europe,"Aachen, NW, Germany",Aachen,
52.537226,13.434735,venue,Sun de Palma,51,10405,Greifswalder Straße,1.0,Berlin,BE,,Berlin,Berlin,Prenzlauer Berg,Germany,DEU,Europe,"Sun de Palma, Berlin, Germany",Palma de Mallorca,
50.087764,8.120627,locality,Wiesbaden,,,,1.0,Hesse,HE,Rheingau-Taunus-Kreis,Wiesbaden,Schlangenbad,,Germany,DEU,Europe,"Wiesbaden, HE, Germany",Wiesbaden,
48.68124,9.011235,locality,Böblingen,,,,1.0,Baden-Württemberg,BW,Böblingen,Böblingen,Böblingen,,Germany,DEU,Europe,"Böblingen, BW, Germany",Böblingen,
51.42973,12.118079,locality,Kabelsketal,,,,1.0,Saxony-Anhalt,ST,Saalekreis,Kabelsketal,Kabelsketal,,Germany,DEU,Europe,"Kabelsketal, ST, Germany",Kabelsketal,
50.736636,7.096342,venue,Nan King,1,53111,Thomas-Mann-Straße,1.0,North Rhine-Westphalia,NW,Bonn,Bonn,Bonn,,Germany,DEU,Europe,"Nan King, Bonn, NW, Germany",,
49.342418,11.116223,locality,Nuremberg,,,,1.0,Bavaria,BY,Roth,Nuremberg,Wendelstein,,Germany,DEU,Europe,"Nuremberg, BY, Germany",Nürnberg,
49.545675,11.94308,locality,Hirschau,,,,1.0,Bavaria,BY,Amberg-Sulzbach,Hirschau,Hirschau,,Germany,DEU,Europe,"Hirschau, BY, Germany",Hirschau,
50.80579,6.05361,neighbourhood,Hand,,,,0.6,North Rhine-Westphalia,NW,Aachen,Aachen,Aachen,Hand,Germany,DEU,Europe,"Hand, Aachen, NW, Germany",Main,
50.928344,7.002998,locality,Cologne,,,,1.0,North Rhine-Westphalia,NW,Köln,Cologne,Köln,,Germany,DEU,Europe,"Cologne, NW, Germany",Köln,
53.022889,14.149543,locality,Schöneberg,,,,0.6,Brandenburg,BB,Uckermark,Schöneberg,Oder-Welse,,Germany,DEU,Europe,"Schöneberg, BB, Germany",Schöneberg,
48.786204,10.106191,locality,Oberkochen,,,,1.0,Baden-Württemberg,BW,Ostalbkreis,Oberkochen,Oberkochen,,Germany,DEU,Europe,"Oberkochen, BW, Germany",Oberkochen,
48.605915,9.147881,region,Baden-Württemberg,,,,1.0,Baden-Württemberg,BW,,,,,Germany,DEU,Europe,"Baden-Württemberg, Germany",Baden-Württemberg,
51.265292,7.143049,locality,Wuppertal,,,,1.0,North Rhine-Westphalia,NW,Wuppertal,Wuppertal,Wuppertal,,Germany,DEU,Europe,"Wuppertal, NW, Germany",Wuppertal,
50.724104,7.114887,locality,Bonn,,,,1.0,North Rhine-Westphalia,NW,Bonn,Bonn,Bonn,,Germany,DEU,Europe,"Bonn, NW, Germany",Bonn,
51.468739,7.019603,locality,Essen,,,,1.0,North Rhine-Westphalia,NW,Essen,Essen,Essen,,Germany,DEU,Europe,"Essen, NW, Germany",Essen,
